date_start,date_end,date_published,measure,spatial_unit_type,ISO 3166-2:LU,LAU,LAU1_2012,LAU2_2012,LAU1_2010,LAU2_2010,name,residents,cases_new,cases_new_per_week_100k
2020-09-07,2020-09-27,2020-09-30T15:00:00.000+02:00,cases_residents_new,canton,LU-CA,,01,,02,,Capellen,50343,77,50.98
2020-09-07,2020-09-27,2020-09-30T15:00:00.000+02:00,cases_residents_new,canton,LU-CL,,05,,06,,Clervaux,19043,10,17.50
2020-09-07,2020-09-27,2020-09-30T15:00:00.000+02:00,cases_residents_new,canton,LU-DI,,06,,07,,Diekirch,33865,57,56.11
2020-09-07,2020-09-27,2020-09-30T15:00:00.000+02:00,cases_residents_new,canton,LU-EC,,10,,11,,Echternach,19264,12,20.76
2020-09-07,2020-09-27,2020-09-30T15:00:00.000+02:00,cases_residents_new,canton,LU-ES,,02,,03,,Esch-sur-Alzette,183943,608,110.18
2020-09-07,2020-09-27,2020-09-30T15:00:00.000+02:00,cases_residents_new,canton,LU-GR,,11,,12,,Grevenmacher,31137,29,31.05
2020-09-07,2020-09-27,2020-09-30T15:00:00.000+02:00,cases_residents_new,canton,LU-LU,,03,,,,Luxembourg,191342,453,78.92
2020-09-07,2020-09-27,2020-09-30T15:00:00.000+02:00,cases_residents_new,canton,LU-ME,,04,,05,,Mersch,33607,56,55.54
2020-09-07,2020-09-27,2020-09-30T15:00:00.000+02:00,cases_residents_new,canton,LU-RD,,07,,08,,Redange,19649,18,30.54
2020-09-07,2020-09-27,2020-09-30T15:00:00.000+02:00,cases_residents_new,canton,LU-RM,,12,,13,,Remich,23399,52,74.08
2020-09-07,2020-09-27,2020-09-30T15:00:00.000+02:00,cases_residents_new,canton,LU-VD,,09,,10,,Vianden,5474,7,42.63
2020-09-07,2020-09-27,2020-09-30T15:00:00.000+02:00,cases_residents_new,canton,LU-WI,,08,,09,,Wiltz,17866,32,59.70
2020-09-07,2020-09-27,2020-09-30T15:00:00.000+02:00,cases_residents_new,municipality,,0304,03,04,00,01,Luxembourg-Ville,122825,320,86.84
2020-09-07,2020-09-27,2020-09-30T15:00:00.000+02:00,cases_residents_new,canton_equivalent,,,,,04,,Luxembourg-Campagne,68517,133,64.70
2020-09-14,2020-10-04,2020-10-07T16:45:00.000+02:00,cases_residents_new,canton,LU-CA,,01,,02,,Capellen,50620,93,61.24
2020-09-14,2020-10-04,2020-10-07T16:45:00.000+02:00,cases_residents_new,canton,LU-CL,,05,,06,,Clervaux,19211,17,29.50
2020-09-14,2020-10-04,2020-10-07T16:45:00.000+02:00,cases_residents_new,canton,LU-DI,,06,,07,,Diekirch,33924,79,77.62
2020-09-14,2020-10-04,2020-10-07T16:45:00.000+02:00,cases_residents_new,canton,LU-EC,,10,,11,,Echternach,19390,13,22.35
2020-09-14,2020-10-04,2020-10-07T16:45:00.000+02:00,cases_residents_new,canton,LU-ES,,02,,03,,Esch-sur-Alzette,184372,695,125.65
2020-09-14,2020-10-04,2020-10-07T16:45:00.000+02:00,cases_residents_new,canton,LU-GR,,11,,12,,Grevenmacher,31329,26,27.66
2020-09-14,2020-10-04,2020-10-07T16:45:00.000+02:00,cases_residents_new,canton,LU-LU,,03,,,,Luxembourg,192881,547,94.53
2020-09-14,2020-10-04,2020-10-07T16:45:00.000+02:00,cases_residents_new,canton,LU-ME,,04,,05,,Mersch,33749,72,71.11
2020-09-14,2020-10-04,2020-10-07T16:45:00.000+02:00,cases_residents_new,canton,LU-RD,,07,,08,,Redange,19750,26,43.88
2020-09-14,2020-10-04,2020-10-07T16:45:00.000+02:00,cases_residents_new,canton,LU-RM,,12,,13,,Remich,23428,62,88.21
2020-09-14,2020-10-04,2020-10-07T16:45:00.000+02:00,cases_residents_new,canton,LU-VD,,09,,10,,Vianden,5479,8,48.67
2020-09-14,2020-10-04,2020-10-07T16:45:00.000+02:00,cases_residents_new,canton,LU-WI,,08,,09,,Wiltz,18098,37,68.15
2020-09-14,2020-10-04,2020-10-07T16:45:00.000+02:00,cases_residents_new,municipality,,0304,03,04,00,01,Luxembourg-Ville,124046,379,101.84
2020-09-14,2020-10-04,2020-10-07T16:45:00.000+02:00,cases_residents_new,canton_equivalent,,,,,04,,Luxembourg-Campagne,68835,168,81.35
2020-09-21,2020-10-11,2020-10-14T14:00:00.000+02:00,cases_residents_new,canton,LU-CA,,01,,02,,Capellen,50620,143,94.17
2020-09-21,2020-10-11,2020-10-14T14:00:00.000+02:00,cases_residents_new,canton,LU-CL,,05,,06,,Clervaux,19211,26,45.11
2020-09-21,2020-10-11,2020-10-14T14:00:00.000+02:00,cases_residents_new,canton,LU-DI,,06,,07,,Diekirch,33924,111,109.07
2020-09-21,2020-10-11,2020-10-14T14:00:00.000+02:00,cases_residents_new,canton,LU-EC,,10,,11,,Echternach,19390,27,46.42
